geno,FD
B0702_B0702,0
B0704_B0704,0
B0801_B0801,0
B1301_B1301,0
B1302_B1302,0
B1402_B1402,0
B1501_B1501,0
B1502_B1502,0
B1503_B1503,0
B1510_B1510,0
B1517_B1517,0
B1801_B1801,0
B2705_B2705,0
B3501_B3501,0
B3503_B3503,0
B3507_B3507,0
B3701_B3701,0
B3801_B3801,0
B3802_B3802,0
B4001_B4001,0
B4002_B4002,0
B4006_B4006,0
B4201_B4201,0
B4402_B4402,0
B4402_B4403,0
B4403_B4402,0
B4403_B4403,0
B4501_B4501,0
B4601_B4601,0
B4901_B4901,0
B5001_B5001,0
B5101_B5101,0
B5201_B5201,0
B5301_B5301,0
B5401_B5401,0
B5401_B5501,0
B5401_B5502,0
B5401_B5601,0
B5501_B5401,0
B5501_B5501,0
B5501_B5502,0
B5501_B5601,0
B5502_B5401,0
B5502_B5501,0
B5502_B5502,0
B5502_B5601,0
B5601_B5401,0
B5601_B5501,0
B5601_B5502,0
B5601_B5601,0
B5701_B5701,0
B5703_B5703,0
B5801_B5801,0
B5802_B5802,0
B4006_B5001,0.230769231
B5001_B4006,0.230769231
B3801_B3802,0.266666667
B3802_B3801,0.266666667
B3501_B3507,0.3
B3507_B3501,0.3
B3507_B5301,0.307692308
B5301_B3507,0.307692308
B5701_B5801,0.307692308
B5801_B5701,0.307692308
B0702_B3503,0.333333333
B1510_B3801,0.333333333
B1510_B3802,0.333333333
B3503_B0702,0.333333333
B3801_B1510,0.333333333
B3802_B1510,0.333333333
B4001_B4901,0.333333333
B4901_B4001,0.333333333
B1501_B1502,0.352941176
B1502_B1501,0.352941176
B0702_B4201,0.368421053
B3503_B4201,0.368421053
B4201_B0702,0.368421053
B4201_B3503,0.368421053
B0702_B0704,0.384615385
B0704_B0702,0.384615385
B0704_B3503,0.384615385
B1801_B4402,0.384615385
B1801_B4403,0.384615385
B3503_B0704,0.384615385
B4402_B1801,0.384615385
B4403_B1801,0.384615385
B1302_B5201,0.4
B4002_B4901,0.4
B4901_B4002,0.4
B5201_B1302,0.4
B3501_B3503,0.411764706
B3503_B3501,0.411764706
B0704_B4201,0.428571429
B4006_B4901,0.428571429
B4201_B0704,0.428571429
B4901_B4006,0.428571429
B1301_B1302,0.448275862
B1302_B1301,0.448275862
B0801_B1402,0.454545455
B1402_B0801,0.454545455
B3501_B5301,0.454545455
B4001_B4402,0.454545455
B4001_B4403,0.454545455
B4402_B4001,0.454545455
B4403_B4001,0.454545455
B5301_B3501,0.454545455
B4201_B5401,0.466666667
B4201_B5501,0.466666667
B4201_B5502,0.466666667
B4201_B5601,0.466666667
B5401_B4201,0.466666667
B5501_B4201,0.466666667
B5502_B4201,0.466666667
B5601_B4201,0.466666667
B5701_B5703,0.466666667
B5703_B5701,0.466666667
B4006_B4501,0.473684211
B4501_B4006,0.473684211
B5703_B5801,0.473684211
B5801_B5703,0.473684211
B0702_B5301,0.47826087
B3503_B5301,0.47826087
B5301_B0702,0.47826087
B5301_B3503,0.47826087
B0704_B3501,0.5
B1801_B4001,0.5
B1801_B4002,0.5
B3501_B0704,0.5
B3507_B4601,0.5
B4001_B1801,0.5
B4001_B4006,0.5
B4002_B1801,0.5
B4002_B4006,0.5
B4006_B4001,0.5
B4006_B4002,0.5
B4201_B5301,0.5
B4601_B3507,0.5
B5301_B4201,0.5
B0702_B3507,0.523809524
B3503_B3507,0.523809524
B3507_B0702,0.523809524
B3507_B3503,0.523809524
B0702_B3501,0.529411765
B3501_B0702,0.529411765
B1402_B2705,0.538461538
B2705_B1402,0.538461538
B4402_B4901,0.538461538
B4403_B4901,0.538461538
B4901_B4402,0.538461538
B4901_B4403,0.538461538
B4901_B5001,0.538461538
B5001_B4901,0.538461538
B3507_B4201,0.545454545
B4201_B3507,0.545454545
B0704_B0801,0.555555556
B0704_B5401,0.555555556
B0704_B5501,0.555555556
B0704_B5502,0.555555556
B0704_B5601,0.555555556
B0801_B0704,0.555555556
B4001_B4002,0.555555556
B4002_B4001,0.555555556
B4501_B5001,0.555555556
B5001_B4501,0.555555556
B5401_B0704,0.555555556
B5501_B0704,0.555555556
B5502_B0704,0.555555556
B5601_B0704,0.555555556
B1501_B1503,0.567567568
B1503_B1501,0.567567568
B1801_B4901,0.571428571
B4901_B1801,0.571428571
B4002_B4402,0.578947368
B4002_B4403,0.578947368
B4002_B5001,0.578947368
B4402_B4002,0.578947368
B4403_B4002,0.578947368
B4501_B4901,0.578947368
B4901_B4501,0.578947368
B5001_B4002,0.578947368
B1302_B3801,0.583333333
B3801_B1302,0.583333333
B1301_B3801,0.586206897
B3801_B1301,0.586206897
B0704_B1402,0.6
B1402_B0704,0.6
B1801_B3701,0.6
B3701_B1801,0.6
B4002_B4501,0.6
B4501_B4002,0.6
B3701_B4002,0.615384615
B4002_B3701,0.615384615
